"","hg19_Chromosome","hg19_Start","hg19_Stop","Symbol","EnsemblGeneID","MCARTA2.0_score"
"781","chr1",9599541,9645237,"SLC25A33","ENSG00000171612",9.0313
"782","chrX",2137557,2420846,"DHRSX","ENSG00000169084",8.9774
"783","chr17",26205340,26221778,"LYRM9","ENSG00000232859",8.9622
"784","chr5",176728199,176730745,"RAB24","ENSG00000169228",8.9534
"785","chr1",55222571,55230187,"PARS2","ENSG00000162396",8.9079
"786","chr14",23299088,23304246,"MRPL52","ENSG00000172590",8.8594
"787","chr12",132413745,132428406,"PUS1","ENSG00000177192",8.8588
"788","chr16",58741035,58768261,"GOT2","ENSG00000125166",8.8086
"789","chr13",111267881,111292340,"CARKD","ENSG00000213995",8.8086
"790","chrM",10059,10404,"ND3","ENSG00000198840",8.7965
"791","chr11",44087475,44105772,"ACCS","ENSG00000110455",8.696
"792","chr17",57751997,57784987,"PTRH2","ENSG00000141378",8.5962
"793","chr17",76374721,76421195,"PGS1","ENSG00000087157",8.591
"794","chr8",107282473,107764922,"OXR1","ENSG00000164830",8.5766
"795","chr1",219347186,219386207,"LYPLAL1","ENSG00000143353",8.5583
"796","chr21",34860497,34864027,"DNAJC28","ENSG00000177692",8.5401
"797","chr10",105995114,106027217,"GSTO1","ENSG00000148834",8.5138
"798","chr9",130556876,130576606,"FPGS","ENSG00000136877",8.3701
"799","chr19",11453452,11457194,"TMEM205","ENSG00000105518",8.3641
"800","chrX",103343898,103401708,"SLC25A53","ENSG00000176274",8.3463
"801","chr22",21319396,21335649,"AIFM3","ENSG00000183773",8.3282
"802","chr12",16500076,16762193,"MGST1","ENSG00000008394",8.3245
"803","chr7",48211055,48687092,"ABCA13","ENSG00000179869",8.2868
"804","chr22",30821518,30825045,"MTFP1","ENSG00000242114",8.2655
"805","chr16",89985573,90002500,"TUBB3","ENSG00000198211",8.245
"806","chr11",73583712,73588033,"COA4","ENSG00000181924",8.2222
"807","chr2",201754050,201768655,"NIF3L1","ENSG00000196290",8.1782
"808","chr1",1243947,1247057,"PUSL1","ENSG00000169972",8.1744
"809","chr12",113860042,113876081,"SDSL","ENSG00000139410",8.1111
"810","chr19",49458072,49465055,"BAX","ENSG00000087088",8.0787
"811","chr20",3827487,3849280,"MAVS","ENSG00000088888",8.0699
"812","chr14",21457929,21465189,"METTL17","ENSG00000165792",8.0113
"813","chr12",109554400,109706031,"ACACB","ENSG00000076555",7.9777
"814","chr14",68086515,68118437,"ARG2","ENSG00000081181",7.9705
"815","chr10",30598730,30663377,"MTPAP","ENSG00000107951",7.9277
"816","chr3",48473574,48481866,"CCDC51","ENSG00000164051",7.9144
"817","chr7",40174575,40900362,"SUGCT","ENSG00000175600",7.8716
"818","chr12",32832134,32898486,"DNM1L","ENSG00000087470",7.8545
"819","chr1",52254863,52344477,"NRD1","ENSG00000078618",7.7642
"820","chr11",85339629,85347580,"TMEM126B","ENSG00000171204",7.761
"821","chr1",46805849,46830824,"NSUN4","ENSG00000117481",7.744
"822","chr12",81331594,81650533,"ACSS3","ENSG00000111058",7.6981
"823","chr20",54933971,54943719,"FAM210B","ENSG00000124098",7.6889
"824","chr18",77794358,77806397,"RBFA","ENSG00000101546",7.663
"825","chr4",103790135,103810399,"CISD2","ENSG00000145354",7.6542
"826","chr2",172864490,172947158,"METAP1D","ENSG00000172878",7.6531
"827","chr1",110527308,110566357,"AHCYL1","ENSG00000168710",7.642
"828","chr9",107509969,107522403,"NIPSNAP3A","ENSG00000136783",7.6248
"829","chr1",220960101,220987735,"MARC1","ENSG00000186205",7.6214
"830","chrX",44382885,44402247,"FUNDC1","ENSG00000069509",7.6199
"831","chr4",185676749,185747972,"ACSL1","ENSG00000151726",7.5981
"832","chr1",244998624,245008359,"COX20","ENSG00000203667",7.5827
"833","chr16",84155886,84178797,"HSDL1","ENSG00000103160",7.5122
"834","chr21",37507210,37518864,"CBR3","ENSG00000159231",7.4373
"835","chr2",242011584,242041747,"MTERFD2","ENSG00000122085",7.4107
"836","chr19",33182867,33204702,"NUDT19","ENSG00000213965",7.4095
"837","chr12",13127798,13153207,"HEBP1","ENSG00000013583",7.3937
"838","chr11",47586982,47595013,"PTPMT1","ENSG00000110536",7.3937
"839","chr12",133287405,133299228,"PGAM5","ENSG00000247077",7.3937
"840","chr2",242615157,242626406,"DTYMK","ENSG00000168393",7.3701
"841","chr16",75661622,75682541,"KARS","ENSG00000065427",7.3221
"842","chr8",38001167,38008783,"STAR","ENSG00000147465",7.3188
"843","chr3",180701497,180707562,"DNAJC19","ENSG00000205981",7.311
"844","chr11",118955576,118964259,"HMBS","ENSG00000256269",7.258
"845","chrX",38211798,38280703,"OTC","ENSG00000036473",7.1641
"846","chr2",42560686,42652228,"COX7A2L","ENSG00000115944",7.1222
"847","chr8",97251626,97273838,"MTERFD1","ENSG00000156469",7.1079
"848","chr10",104474295,104503249,"SFXN2","ENSG00000156398",7.053
"849","chr17",80036214,80056208,"FASN","ENSG00000169710",7.0321
"850","chr1",20959948,20978004,"PINK1","ENSG00000158828",6.985
"851","chr2",120436743,120444083,"TMEM177","ENSG00000144120",6.9732
"852","chr12",104609557,104744061,"TXNRD1","ENSG00000198431",6.9481
"853","chr10",25305587,25315593,"THNSL1","ENSG00000185875",6.9426
"854","chr11",118894824,118901616,"SLC37A4","ENSG00000137700",6.9399
"855","chr1",155278539,155290457,"FDPS","ENSG00000160752",6.8633
"856","chr10",1085848,1095110,"IDI1","ENSG00000067064",6.8633
"857","chr17",18174742,18218321,"TOP3A","ENSG00000177302",6.7725
"858","chr5",121187650,121188519,"FTMT","ENSG00000181867",6.7693
"859","chr15",59499042,59500705,"LDHAL6B","ENSG00000171989",6.7613
"860","chr12",111890018,112037480,"ATXN2","ENSG00000204842",6.7587
"861","chr8",66556969,66683496,"MTFR1","ENSG00000066855",6.7258
"862","chr1",85784164,86043933,"DDAH1","ENSG00000153904",6.7193
"863","chr22",18111621,18213388,"BCL2L13","ENSG00000099968",6.6819
"864","chr3",101280706,101285290,"TRMT10C","ENSG00000174173",6.654
"865","chr1",6324329,6454451,"ACOT7","ENSG00000097021",6.6503
"866","chr6",155578643,155635627,"TFB1M","ENSG00000029639",6.6493
"867","chr7",127228399,127231759,"ARF5","ENSG00000004059",6.6427
"868","chr4",110481361,110609874,"CCDC109B","ENSG00000005059",6.6374
"869","chr10",102747124,102754158,"C10orf2","ENSG00000107815",6.6296
"870","chr2",150426148,150444330,"MMADHC","ENSG00000168288",6.6165
"871","chr11",43902361,43941816,"ALKBH3","ENSG00000166199",6.593
"872","chr1",226107578,226111978,"PYCR2","ENSG00000143811",6.537
"873","chr6",33239851,33244281,"RPS18","ENSG00000096150",6.5106
"874","chr1",161007421,161008780,"TSTD1","ENSG00000215845",6.4969
"875","chr14",68143518,68162531,"RDH11","ENSG00000072042",6.4964
"876","chr1",16340523,16346089,"HSPB7","ENSG00000173641",6.4257
"877","chr16",20911190,20936328,"LYRM1","ENSG00000102897",6.4202
"878","chr18",21742008,21977844,"OSBPL1A","ENSG00000141447",6.4032
"879","chr8",145736667,145743229,"RECQL4","ENSG00000160957",6.4021
"880","chr19",7694623,7696842,"PET100","ENSG00000229833",6.3815
"881","chr10",71029740,71161638,"HK1","ENSG00000156515",6.3802
"882","chr8",75233365,75401107,"GDAP1","ENSG00000104381",6.3802
"883","chr13",28009776,28024739,"MTIF3","ENSG00000122033",6.3646
"884","chr12",109535379,109548797,"UNG","ENSG00000076248",6.3004
"885","chr11",58407899,58499447,"GLYAT","ENSG00000149124",6.2978
"886","chr17",18231187,18266856,"SHMT1","ENSG00000176974",6.2275
"887","chr19",55964352,55973710,"ISOC2","ENSG00000063241",6.2195
"888","chr11",112097088,112140678,"PTS","ENSG00000150787",6.1957
"889","chr5",64859063,64883376,"PPWD1","ENSG00000113593",6.176
"890","chr17",46970127,46973233,"ATP5G1","ENSG00000159199",6.1649
"891","chr17",6944949,6947242,"SLC16A11","ENSG00000174326",6.1649
"892","chr4",17461884,17513857,"QDPR","ENSG00000151552",6.1455
"893","chr12",59989848,60176395,"SLC16A7","ENSG00000118596",6.1454
"894","chr12",123405498,123466196,"ABCB9","ENSG00000150967",6.1454
"895","chr19",41197434,41224112,"ADCK4","ENSG00000123815",6.1454
"896","chr7",89964537,90020769,"GTPBP10","ENSG00000105793",6.1454
"897","chr5",33440802,33469644,"TARS","ENSG00000113407",6.1272
"898","chr22",43547520,43559248,"TSPO","ENSG00000100300",6.1239
"899","chr11",61727190,61735132,"FTH1","ENSG00000167996",6.1239
"900","chr19",13215716,13228381,"TRMT1","ENSG00000104907",6.1111
"901","chr14",35747839,35786699,"PSMA6","ENSG00000100902",6.1106
"902","chr7",140372953,140396061,"ADCK2","ENSG00000133597",6.1095
"903","chr4",8368009,8442450,"ACOX3","ENSG00000087008",6.1036
"904","chr12",120532899,120555306,"RAB35","ENSG00000111737",6.0678
"905","chr6",99968869,99981059,"TSTD3","ENSG00000279170",6.0678
"906","chr5",68513587,68525956,"MRPS36","ENSG00000134056",6.0327
"907","chr16",66912492,66929657,"PDP2","ENSG00000172840",6.0269
"908","chr8",6565878,6617184,"AGPAT5","ENSG00000155189",5.9986
"909","chr16",691813,698474,"FAM195A","ENSG00000172366",5.947
"910","chr11",73685712,73694352,"UCP2","ENSG00000175567",5.9313
"911","chr8",23386318,23432976,"SLC25A37","ENSG00000147454",5.9313
"912","chr10",101370282,101380366,"SLC25A28","ENSG00000155287",5.9313
"913","chr5",135170338,135224326,"SLC25A48","ENSG00000145832",5.9313
"914","chrX",118533023,118588441,"SLC25A43","ENSG00000077713",5.9313
"915","chr14",100789674,100796715,"SLC25A47","ENSG00000140107",5.9313
"916","chr19",6426048,6433790,"SLC25A41","ENSG00000181240",5.9313
"917","chr1",16062900,16067891,"SLC25A34","ENSG00000162461",5.9313
"918","chr22",43231418,43411151,"PACSIN2","ENSG00000100266",5.8834
"919","chr9",32384618,32454767,"ACO1","ENSG00000122729",5.7933
"920","chr3",37034823,37107380,"MLH1","ENSG00000076242",5.7771
"921","chr14",64854749,64926722,"MTHFD1","ENSG00000100714",5.7609
"922","chr3",127872297,128127485,"EEFSEC","ENSG00000132394",5.7593
"923","chr8",27348296,27403081,"EPHX2","ENSG00000120915",5.726
"924","chr1",55315306,55352891,"DHCR24","ENSG00000116133",5.6919
"925","chr10",12207324,12238143,"NUDT5","ENSG00000165609",5.6919
"926","chr10",74127098,74385899,"MICU1","ENSG00000107745",5.6709
"927","chr21",33031935,33041244,"SOD1","ENSG00000142168",5.6562
"928","chr22",42949623,42970388,"SERHL2","ENSG00000183569",5.6521
"929","chr17",1619817,1641893,"WDR81","ENSG00000167716",5.6405
"930","chr3",49057892,49060928,"NDUFAF3","ENSG00000178057",5.6344
"931","chr2",74362525,74375121,"BOLA3","ENSG00000163170",5.6344
"932","chr4",48887036,48908954,"OCIAD2","ENSG00000145247",5.6271
"933","chr17",48556161,48563336,"RSAD1","ENSG00000136444",5.592
"934","chr3",172348039,172429008,"NCEH1","ENSG00000144959",5.5783
"935","chr3",126423063,126679249,"CHCHD6","ENSG00000159685",5.553
"936","chr12",6976283,6980112,"TPI1","ENSG00000111669",5.5357
"937","chr2",207630081,207657233,"FASTKD2","ENSG00000118246",5.5345
"938","chr1",145516252,145523730,"PEX11B","ENSG00000131779",5.4781
"939","chr16",8874241,8891505,"TMEM186","ENSG00000184857",5.4781
"940","chr1",228395831,228566577,"OBSCN","ENSG00000154358",5.4768
"941","chr18",71920530,71959251,"CYB5A","ENSG00000166347",5.4531
"942","chr15",65107831,65117867,"PIF1","ENSG00000140451",5.4414
"943","chr2",88422510,88427635,"FABP1","ENSG00000163586",5.4389
"944","chrX",152990323,153010216,"ABCD1","ENSG00000101986",5.4323
"945","chr12",6643093,6647537,"GAPDH","ENSG00000111640",5.4139
"946","chr8",37620111,37637283,"PROSC","ENSG00000147471",5.3618
"947","chr15",74275547,74286963,"STOML1","ENSG00000067221",5.3492
"948","chr2",120124497,120130126,"DBI","ENSG00000155368",5.3468
"949","chr22",21061979,21213705,"PI4KA","ENSG00000241973",5.3458
"950","chr2",55861400,55921045,"PNPT1","ENSG00000138035",5.3413
"951","chr12",66517709,66563852,"TMBIM4","ENSG00000155957",5.3404
"952","chr8",144386554,144442149,"TOP1MT","ENSG00000184428",5.3339
"953","chr15",83657193,83680393,"C15orf40","ENSG00000169609",5.327
"954","chr2",3592383,3606206,"RNASEH1","ENSG00000171865",5.327
"955","chr17",66970629,67057205,"ABCA9","ENSG00000154258",5.3065
"956","chr1",53392901,53517375,"SCP2","ENSG00000116171",5.2994
"957","chr12",104164231,104234975,"NT5DC3","ENSG00000111696",5.2887
"958","chr2",120517207,120741394,"PTPN4","ENSG00000088179",5.2701
"959","chrX",154289897,154299637,"CMC4","ENSG00000182712",5.252
"960","chr17",73937588,73975515,"ACOX1","ENSG00000161533",5.2485
"961","chr12",21788276,21910791,"LDHB","ENSG00000111716",5.2343
"962","chr21",47706251,47717665,"YBEY","ENSG00000182362",5.2315
"963","chr5",130494720,130507428,"HINT1","ENSG00000169567",5.2276
"964","chr1",155259630,155271225,"PKLR","ENSG00000143627",5.2213
"965","chr1",20825943,20834654,"MUL1","ENSG00000090432",5.1987
"966","chr16",66541906,66586447,"TK2","ENSG00000166548",5.1181
"967","chr1",15898848,15911605,"AGMAT","ENSG00000116771",4.986
"968","chr2",6980701,7006766,"CMPK2","ENSG00000134326",4.9286
"969","chr22",18216906,18257536,"BID","ENSG00000015475",4.9239
"970","chr11",64781585,64789656,"ARL2","ENSG00000213465",4.8027
"971","chr14",70838148,70883778,"SYNJ2BP","ENSG00000213463",4.8027
"972","chr2",228189867,228222550,"MFF","ENSG00000168958",4.7895
"973","chr17",79993012,79995608,"DCXR","ENSG00000169738",4.7874
"974","chr4",88343734,88380606,"NUDT9","ENSG00000170502",4.7857
"975","chr5",33986283,34008220,"AMACR","ENSG00000242110",4.7681
"976","chr4",123809852,123844123,"NUDT6","ENSG00000170917",4.6489
"977","chr19",41937223,41946622,"ATP5SL","ENSG00000105341",4.5235
"978","chr7",2273866,2281840,"FTSJ2","ENSG00000122687",4.5096
"979","chr6",33540329,33548019,"BAK1","ENSG00000030110",4.5081
"980","chr16",72042487,72058954,"DHODH","ENSG00000102967",4.5081
"981","chrX",43625858,43741693,"MAOB","ENSG00000069535",4.5081
"982","chr1",165600098,165631033,"MGST3","ENSG00000143198",4.5081
"983","chr1",147101453,147142618,"ACP6","ENSG00000162836",4.5081
"984","chr11",73498361,73576178,"MRPL48","ENSG00000175581",4.5081
"985","chr2",241807896,241819919,"AGXT","ENSG00000172482",4.4755
"986","chr22",43013846,43045574,"CYB5R3","ENSG00000100243",4.4742
"987","chr16",68055179,68057770,"DDX28","ENSG00000182810",4.4365
"988","chr10",133781578,133795435,"BNIP3","ENSG00000176171",4.3912
"989","chr1",45794835,45806142,"MUTYH","ENSG00000132781",4.3575
"990","chrX",220025,230886,"GTPBP6","ENSG00000178605",4.3575
"991","chr15",74630100,74660081,"CYP11A1","ENSG00000140459",4.3516
"992","chr4",48807229,48863834,"OCIAD1","ENSG00000109180",4.2832
"993","chr2",172173919,172291312,"METTL8","ENSG00000123600",4.282
"994","chr11",126071993,126081587,"RPUSD4","ENSG00000165526",4.104
"995","chr3",48334754,48343175,"NME6","ENSG00000172113",3.9472
"996","chr19",18642561,18654887,"FKBP8","ENSG00000105701",3.9439
"997","chr11",119037277,119054725,"NLRX1","ENSG00000160703",3.7937
"998","chr11",126138950,126148026,"FOXRED1","ENSG00000110074",3.7864
"999","chr1",246703862,246729626,"TFB2M","ENSG00000162851",3.7684
"1000","chr4",89178772,89205921,"PPM1K","ENSG00000163644",3.7684
"1001","chr12",54026510,54071192,"ATP5G2","ENSG00000135390",3.7304
"1002","chrM",3307,4262,"ND1","ENSG00000198888",3.5915
"1003","chr12",65672423,65882024,"MSRB3","ENSG00000174099",3.4401
"1004","chr9",107526438,107539738,"NIPSNAP3B","ENSG00000165028",3.3827
"1005","chr16",2089816,2097867,"NTHL1","ENSG00000065057",3.297
"1006","chr10",94050920,94113721,"MARCH5","ENSG00000198060",3.273
"1007","chr10",120900279,120925179,"SFXN4","ENSG00000183605",3.2625
"1008","chrX",1505045,1511617,"SLC25A6","ENSG00000169100",3.172
"1009","chr3",9791628,9829903,"OGG1","ENSG00000114026",3.1054
"1010","chr19",10812106,10824113,"QTRT1","ENSG00000213339",3.0298
"1011","chr10",71857979,71892690,"AIFM2","ENSG00000042286",3.0272
"1012","chr19",12907634,12912694,"PRDX2","ENSG00000167815",2.98
"1013","chr6",99316420,99395849,"FBXL4","ENSG00000112234",2.9195
"1014","chr10",113909624,113975135,"GPAM","ENSG00000119927",2.7219
"1015","chr14",50779044,50802276,"ATP5S","ENSG00000125375",2.6674
"1016","chr15",41028082,41048049,"RMDN3","ENSG00000137824",2.6674
"1017","chr10",82167585,82192753,"FAM213A","ENSG00000122378",2.6674
"1018","chr10",105148798,105156223,"USMG5","ENSG00000173915",2.6674
"1019","chr20",18118762,18169031,"PET117","ENSG00000149474",2.6348
"1020","chrX",43515467,43606068,"MAOA","ENSG00000189221",2.6021
"1021","chr15",67813406,67819628,"C15orf61","ENSG00000189227",2.5925
"1022","chr14",94571182,94583033,"IFI27","ENSG00000165949",2.5531
"1023","chr1",45965725,45976739,"MMACHC","ENSG00000132763",2.5047
"1024","chr16",18792617,18801705,"RPS15A","ENSG00000134419",2.4225
"1025","chr1",75171170,75199092,"CRYZ","ENSG00000116791",2.4163
"1026","chr17",79890260,79900288,"PYCR1","ENSG00000183010",2.4163
"1027","chr12",52908359,52914471,"KRT5","ENSG00000186081",2.3968
"1028","chr6",35436185,35438562,"RPL10A","ENSG00000198755",2.355
"1029","chrX",154719776,154899605,"TMLHE","ENSG00000185973",2.2595
"1030","chr1",235272651,235292251,"TOMM20","ENSG00000173726",2.2055
"1031","chr5",149822753,149829319,"RPS14","ENSG00000164587",2.1903
"1032","chr1",53152508,53164038,"COA7","ENSG00000162377",2.0718
"1033","chr22",39895437,39914137,"MIEF1","ENSG00000100335",1.9593
"1034","chr1",246887349,246931439,"SCCPDH","ENSG00000143653",1.9171
"1035","chr15",45722727,45740959,"C15orf48","ENSG00000166920",1.9171
"1036","chr8",26240414,26363152,"BNIP3L","ENSG00000104765",1.861
"1037","chr20",3127165,3140543,"FASTKD5","ENSG00000215251",1.5509
"1038","chr1",8014351,8045565,"PARK7","ENSG00000116288",1.5385
"1039","chr5",167913450,167946304,"RARS","ENSG00000113643",1.5321
"1040","chr1",10270863,10441661,"KIF1B","ENSG00000054523",1.5054
"1041","chr7",43648055,43769316,"COA1","ENSG00000106603",1.463
"1042","chrM",10470,10766,"ND4L","ENSG00000212907",1.4501
"1043","chr12",120740119,120751052,"SIRT4","ENSG00000089163",1.4323
"1044","chr6",33662070,33679504,"UQCC2","ENSG00000137288",1.4323
"1045","chr3",57542003,57552571,"PDE12","ENSG00000174840",1.4323
"1046","chr16",1820287,1821731,"NME3","ENSG00000103024",1.4126
"1047","chr3",47844399,47891685,"DHX30","ENSG00000132153",1.3968
"1048","chr7",150773711,150777953,"FASTK","ENSG00000164896",1.3696
"1049","chr11",28129795,28355054,"METTL15","ENSG00000169519",1.3644
"1050","chr20",52769988,52790512,"CYP24A1","ENSG00000019186",1.3533
"1051","chr20",3869486,3907605,"PANK2","ENSG00000125779",1.3533
"1052","chr16",87921625,87970135,"CA5A","ENSG00000174990",1.2151
"1053","chr3",52558386,52569070,"NT5DC2","ENSG00000168268",1.168
"1054","chr2",54197975,54532437,"ACYP2","ENSG00000170634",1.1538
"1055","chr1",1407143,1433228,"ATAD3B","ENSG00000160072",1.0923
"1056","chr9",131071382,131085021,"TRUB2","ENSG00000167112",1.081
"1057","chr10",76993727,76995788,"COMTD1","ENSG00000165644",0.7267
"1058","chr19",50194155,50216988,"CPT1C","ENSG00000169169",0.7262
"1059","chr3",155480401,155524140,"C3orf33","ENSG00000174928",0.7152
"1060","chr7",127292234,127732661,"SND1","ENSG00000197157",0.6244
"1061","chr1",213165524,213189168,"ANGEL2","ENSG00000174606",0.3556
"1062","chrX",23682379,23704516,"PRDX4","ENSG00000123131",0.2254
"1063","chr2",73460548,73480149,"CCT7","ENSG00000135624",0.2254
"1064","chr17",79801035,79818570,"P4HB","ENSG00000185624",0.162
"1065","chrX",55026790,55035490,"APEX2","ENSG00000169188",0.1441
"1066","chr4",57301907,57327534,"PAICS","ENSG00000128050",0.08
"1067","chr4",140187317,140201492,"MGARP","ENSG00000137463",0.0622
"1068","chr9",116135699,116139279,"HDHD3","ENSG00000119431",0.0417
"1069","chr10",124713897,124757029,"PSTK","ENSG00000179988",0.0283
"1070","chr8",143991975,143999259,"CYP11B2","ENSG00000179142",0.0256
"1071","chr2",216176540,216214487,"ATIC","ENSG00000138363",-0.1288
"1072","chr7",74441226,74490064,"WBSCR16","ENSG00000174374",-0.1485
"1073","chr7",102389418,102449672,"FAM185A","ENSG00000222011",-0.32
"1074","chr18",57567180,57571538,"PMAIP1","ENSG00000141682",-0.3397
"1075","chr1",52485803,52521843,"TXNDC12","ENSG00000117862",-0.4595
"1076","chr7",150904923,150924316,"ABCF2","ENSG00000033050",-0.8105
"1077","chr1",151742583,151763892,"TDRKH","ENSG00000182134",-0.8138
"1078","chr12",58156117,58162769,"CYP27B1","ENSG00000111012",-0.9827
"1079","chr17",62473902,62493154,"POLG2","ENSG00000256525",-0.9827
"1080","chr2",32390933,32449448,"SLC30A6","ENSG00000152683",-0.9827
"1081","chr8",33448856,33457624,"DUSP26","ENSG00000133878",-0.9827
"1082","chr7",91321323,91510034,"MTERF","ENSG00000127989",-1.0247
"1083","chr19",1103936,1106787,"GPX4","ENSG00000167468",-1.0377
"1084","chr5",131630136,131679899,"SLC22A4","ENSG00000197208",-1.1574
"1085","chr22",19929130,19957498,"COMT","ENSG00000093010",-1.2362
"1086","chr12",53693470,53700961,"C12orf10","ENSG00000139637",-1.3152
"1087","chr17",48620419,48633213,"SPATA20","ENSG00000006282",-1.3348
"1088","chr1",84964008,84972248,"GNG5","ENSG00000174021",-1.3651
"1089","chr5",196986,218330,"CCDC127","ENSG00000164366",-1.4533
"1090","chr12",107385142,107487607,"CRY1","ENSG00000008405",-1.472
"1091","chrX",108867473,108976632,"ACSL4","ENSG00000068366",-1.7369
"1092","chr20",17949556,17971765,"MGME1","ENSG00000125871",-2.2856
"1093","chr17",56597611,56618179,"SEPT4","ENSG00000108387",-2.3066
"1094","chr8",109455830,109499145,"EMC2","ENSG00000104412",-2.4214
"1095","chr2",233470767,233547491,"EFHD1","ENSG00000115468",-2.4214
"1096","chr20",35234137,35240960,"C20orf24","ENSG00000101084",-2.5071
"1097","chr14",77972340,78083116,"SPTLC2","ENSG00000100596",-2.5406
"1098","chr7",16831435,16873057,"AGR2","ENSG00000106541",-2.6545
"1099","chr17",73126320,73127890,"NT5C","ENSG00000125458",-2.7787
"1100","chr10",51565108,51590734,"NCOA4","ENSG00000138293",-2.8234
"1101","chr2",242749920,242758739,"NEU4","ENSG00000204099",-2.8234
"1102","chr7",141250989,141355044,"AGK","ENSG00000006530",-2.9098
"1103","chr16",68021649,68113223,"DUS2","ENSG00000167264",-3.2256
"1104","chr20",43570771,43589127,"TOMM34","ENSG00000025772",-3.4637
"1105","chr14",35591052,35743271,"KIAA0391","ENSG00000100890",-3.6264
"1106","chr12",110338069,110421646,"TCHP","ENSG00000139437",-3.6264
"1107","chr15",43885252,43897099,"CKMT1B","ENSG00000237289",-3.742
"1108","chr14",92582466,92588261,"NDUFB1","ENSG00000183648",-3.784
"1109","chr7",99017372,99063820,"ATP5J2-PTCD1","ENSG00000248919",-3.784
"1110","chr2",202098166,202152434,"CASP8","ENSG00000064012",-3.7952
"1111","chr20",30252255,30311792,"BCL2L1","ENSG00000171552",-3.8147
"1112","chr3",197676858,197683481,"RPL35A","ENSG00000182899",-4.0065
"1113","chr7",102715328,102740205,"ARMC10","ENSG00000170632",-4.079
"1114","chr5",137620954,137674044,"CDC25C","ENSG00000158402",-4.2008
"1115","chr6",146864829,146876101,"RAB32","ENSG00000118508",-4.3576
"1116","chr11",7686331,7698453,"CYB5R2","ENSG00000166394",-4.3576
"1117","chr2",73300510,73383849,"RAB11FIP5","ENSG00000135631",-4.4408
"1118","chr5",157158205,157168456,"THG1L","ENSG00000113272",-4.4408
"1119","chr5",32124810,32174456,"GOLPH3","ENSG00000113384",-4.4533
"1120","chr2",44543420,44589001,"PREPL","ENSG00000138078",-4.592
"1121","chr5",7859272,7869150,"FASTKD3","ENSG00000124279",-4.7007
"1122","chr19",33369902,33462897,"CEP89","ENSG00000121289",-4.7007
"1123","chr11",17229700,17371521,"NUCB2","ENSG00000070081",-4.7411
"1124","chr11",67806483,67818362,"TCIRG1","ENSG00000110719",-5.2802
"1125","chr17",41322498,41363708,"NBR1","ENSG00000188554",-5.3955
"1126","chr15",77223960,77242601,"RCN2","ENSG00000117906",-5.5448
"1127","chr17",39968932,39979465,"FKBP10","ENSG00000141756",-5.5448
"1128","chr5",56205087,56221359,"SETD9","ENSG00000155542",-5.5827
"1129","chr2",88991162,89050452,"RPIA","ENSG00000153574",-5.8466
"1130","chr1",182992595,183114727,"LAMC1","ENSG00000135862",-6.058
"1131","chr11",64037302,64052176,"BAD","ENSG00000002330",-6.2297
"1132","chr18",60790579,60987361,"BCL2","ENSG00000171791",-6.2297
"1133","chr14",23767999,23780968,"BCL2L2","ENSG00000129473",-6.2297
"1134","chr19",46272975,46285810,"DMPK","ENSG00000104936",-6.2297
"1135","chr10",70173821,70231879,"DNA2","ENSG00000138346",-6.2297
"1136","chrM",14149,14673,"ND6","ENSG00000198695",-6.2297
"1137","chr14",78138747,78174363,"ALKBH1","ENSG00000100601",-6.2297
"1138","chr22",38452318,38471708,"PICK1","ENSG00000100151",-6.2297
"1139","chr17",19807615,19881656,"AKAP10","ENSG00000108599",-6.2297
"1140","chr20",9518036,9819689,"PAK7","ENSG00000101349",-6.2297
"1141","chr3",93781760,93847389,"NSUN3","ENSG00000178694",-6.2297
"1142","chrX",90689594,90693583,"PABPC5","ENSG00000174740",-6.2297
"1143","chr6",84222194,84235423,"PRSS35","ENSG00000146250",-6.2297
"1144","chr4",47487305,47595503,"ATP10D","ENSG00000145246",-6.2522
"1145","chr6",158530536,158589312,"SERAC1","ENSG00000122335",-6.2522
"1146","chr9",102668915,102732618,"STX17","ENSG00000136874",-6.3219
"1147","chr2",29072687,29093167,"TRMT61B","ENSG00000171103",-6.9601
"1148","chr9",5357973,5437878,"PLGRKT","ENSG00000107020",-7.3086
"1149","chr4",109541722,109551568,"RPL34","ENSG00000109475",-7.3264
"1150","chr9",91933421,91974557,"SECISBP2","ENSG00000187742",-7.8105
"1151","chrX",154289897,154376212,"MTCP1","ENSG00000214827",-8.0704
"1152","chr10",45466429,45474258,"C10orf10","ENSG00000165507",-8.0704
"1153","chr2",200775979,200820658,"C2orf69","ENSG00000178074",-8.0704
"1154","chr10",51942538,52008370,"ASAH2","ENSG00000188611",-8.2811
"1155","chr1",25071848,25170815,"CLIC4","ENSG00000169504",-9.2075
"1156","chr22",21213271,21245506,"SNAP29","ENSG00000099940",-10.6961
"1157","chr6",126307576,126360422,"TRMT11","ENSG00000066651",-10.6961
"1158","chr10",124214169,124216868,"ARMS2","ENSG00000254636",-10.8297
